h,v,BurnedCells,month,year
9.0,2.0,0.65,1.0,2051.0
9.0,2.0,0.65,1.0,2052.0
9.0,2.0,0.65,1.0,2053.0
9.0,2.0,0.65,1.0,2054.0
9.0,2.0,0.65,1.0,2055.0
9.0,2.0,0.65,1.0,2056.0
9.0,2.0,0.65,1.0,2057.0
9.0,2.0,0.65,1.0,2058.0
9.0,2.0,0.65,1.0,2059.0
9.0,2.0,0.65,1.0,2060.0
9.0,2.0,0.65,1.0,2091.0
9.0,2.0,0.65,1.0,2092.0
9.0,2.0,0.65,1.0,2093.0
9.0,2.0,0.65,1.0,2094.0
9.0,2.0,0.65,1.0,2095.0
9.0,2.0,0.65,1.0,2096.0
9.0,2.0,0.65,1.0,2097.0
9.0,2.0,0.65,1.0,2098.0
9.0,2.0,0.65,1.0,2099.0
9.0,2.0,0.65,1.0,2100.0
9.0,2.0,0.65,2.0,2051.0
9.0,2.0,0.65,2.0,2052.0
9.0,2.0,0.65,2.0,2053.0
9.0,2.0,0.65,2.0,2054.0
9.0,2.0,0.65,2.0,2055.0
9.0,2.0,0.65,2.0,2056.0
9.0,2.0,0.65,2.0,2057.0
9.0,2.0,0.65,2.0,2058.0
9.0,2.0,0.65,2.0,2059.0
9.0,2.0,0.65,2.0,2060.0
9.0,2.0,0.65,2.0,2091.0
9.0,2.0,0.65,2.0,2092.0
9.0,2.0,0.65,2.0,2093.0
9.0,2.0,0.65,2.0,2094.0
9.0,2.0,0.65,2.0,2095.0
9.0,2.0,0.65,2.0,2096.0
9.0,2.0,0.65,2.0,2097.0
9.0,2.0,0.65,2.0,2098.0
9.0,2.0,0.65,2.0,2099.0
9.0,2.0,0.65,2.0,2100.0
9.0,2.0,0.65,3.0,2051.0
9.0,2.0,0.65,3.0,2052.0
9.0,2.0,0.65,3.0,2053.0
9.0,2.0,0.65,3.0,2054.0
9.0,2.0,0.65,3.0,2055.0
9.0,2.0,0.65,3.0,2056.0
9.0,2.0,0.65,3.0,2057.0
9.0,2.0,0.65,3.0,2058.0
9.0,2.0,0.65,3.0,2059.0
9.0,2.0,0.65,3.0,2060.0
9.0,2.0,0.65,3.0,2091.0
9.0,2.0,0.65,3.0,2092.0
9.0,2.0,0.65,3.0,2093.0
9.0,2.0,0.65,3.0,2094.0
9.0,2.0,0.65,3.0,2095.0
9.0,2.0,0.65,3.0,2096.0
9.0,2.0,0.65,3.0,2097.0
9.0,2.0,0.65,3.0,2098.0
9.0,2.0,0.65,3.0,2099.0
9.0,2.0,0.65,3.0,2100.0
9.0,2.0,0.65,4.0,2051.0
9.0,2.0,0.65,4.0,2052.0
9.0,2.0,0.65,4.0,2053.0
9.0,2.0,0.65,4.0,2054.0
9.0,2.0,0.65,4.0,2055.0
9.0,2.0,0.65,4.0,2056.0
9.0,2.0,0.65,4.0,2057.0
9.0,2.0,0.65,4.0,2058.0
9.0,2.0,0.65,4.0,2059.0
9.0,2.0,0.65,4.0,2060.0
9.0,2.0,0.65,4.0,2091.0
9.0,2.0,0.65,4.0,2092.0
9.0,2.0,0.65,4.0,2093.0
9.0,2.0,0.65,4.0,2094.0
9.0,2.0,0.65,4.0,2095.0
9.0,2.0,0.65,4.0,2096.0
9.0,2.0,0.65,4.0,2097.0
9.0,2.0,0.65,4.0,2098.0
9.0,2.0,0.65,4.0,2099.0
9.0,2.0,0.65,4.0,2100.0
9.0,2.0,0.65,5.0,2051.0
9.0,2.0,0.65,5.0,2052.0
9.0,2.0,0.65,5.0,2053.0
9.0,2.0,0.65,5.0,2054.0
9.0,2.0,0.65,5.0,2055.0
9.0,2.0,0.65,5.0,2056.0
9.0,2.0,0.65,5.0,2057.0
9.0,2.0,0.65,5.0,2058.0
9.0,2.0,0.65,5.0,2059.0
9.0,2.0,0.51,5.0,2060.0
9.0,2.0,0.65,5.0,2091.0
9.0,2.0,0.65,5.0,2092.0
9.0,2.0,0.65,5.0,2093.0
9.0,2.0,0.65,5.0,2094.0
9.0,2.0,0.65,5.0,2095.0
9.0,2.0,0.65,5.0,2096.0
9.0,2.0,0.65,5.0,2097.0
9.0,2.0,0.65,5.0,2098.0
9.0,2.0,0.65,5.0,2099.0
9.0,2.0,0.65,5.0,2100.0
9.0,2.0,0.51,6.0,2051.0
9.0,2.0,0.51,6.0,2052.0
9.0,2.0,0.65,6.0,2053.0
9.0,2.0,0.65,6.0,2054.0
9.0,2.0,0.65,6.0,2055.0
9.0,2.0,0.65,6.0,2056.0
9.0,2.0,0.51,6.0,2057.0
9.0,2.0,0.51,6.0,2058.0
9.0,2.0,0.65,6.0,2059.0
9.0,2.0,0.51,6.0,2060.0
9.0,2.0,0.65,6.0,2091.0
9.0,2.0,0.51,6.0,2092.0
9.0,2.0,0.65,6.0,2093.0
9.0,2.0,0.51,6.0,2094.0
9.0,2.0,0.65,6.0,2095.0
9.0,2.0,0.65,6.0,2096.0
9.0,2.0,0.51,6.0,2097.0
9.0,2.0,0.65,6.0,2098.0
9.0,2.0,0.65,6.0,2099.0
9.0,2.0,0.65,6.0,2100.0
9.0,2.0,0.65,7.0,2051.0
9.0,2.0,0.51,7.0,2052.0
9.0,2.0,0.65,7.0,2053.0
9.0,2.0,0.65,7.0,2054.0
9.0,2.0,0.65,7.0,2055.0
9.0,2.0,6.12,7.0,2056.0
9.0,2.0,0.65,7.0,2057.0
9.0,2.0,0.65,7.0,2058.0
9.0,2.0,0.51,7.0,2059.0
9.0,2.0,1.7,7.0,2060.0
9.0,2.0,1.64,7.0,2091.0
9.0,2.0,0.51,7.0,2092.0
9.0,2.0,0.65,7.0,2093.0
9.0,2.0,0.65,7.0,2094.0
9.0,2.0,0.51,7.0,2095.0
9.0,2.0,0.65,7.0,2096.0
9.0,2.0,0.51,7.0,2097.0
9.0,2.0,0.65,7.0,2098.0
9.0,2.0,0.51,7.0,2099.0
9.0,2.0,0.65,7.0,2100.0
9.0,2.0,0.51,8.0,2051.0
9.0,2.0,0.65,8.0,2052.0
9.0,2.0,0.65,8.0,2053.0
9.0,2.0,1.7,8.0,2054.0
9.0,2.0,1.64,8.0,2055.0
9.0,2.0,0.51,8.0,2056.0
9.0,2.0,0.51,8.0,2057.0
9.0,2.0,0.51,8.0,2058.0
9.0,2.0,1.1,8.0,2059.0
9.0,2.0,0.51,8.0,2060.0
9.0,2.0,0.51,8.0,2091.0
9.0,2.0,0.51,8.0,2092.0
9.0,2.0,0.65,8.0,2093.0
9.0,2.0,0.65,8.0,2094.0
9.0,2.0,0.65,8.0,2095.0
9.0,2.0,0.65,8.0,2096.0
9.0,2.0,0.65,8.0,2097.0
9.0,2.0,0.65,8.0,2098.0
9.0,2.0,0.51,8.0,2099.0
9.0,2.0,0.51,8.0,2100.0
9.0,2.0,0.65,9.0,2051.0
9.0,2.0,0.65,9.0,2052.0
9.0,2.0,0.65,9.0,2053.0
9.0,2.0,0.65,9.0,2054.0
9.0,2.0,0.65,9.0,2055.0
9.0,2.0,0.65,9.0,2056.0
9.0,2.0,0.51,9.0,2057.0
9.0,2.0,0.65,9.0,2058.0
9.0,2.0,0.51,9.0,2059.0
9.0,2.0,0.65,9.0,2060.0
9.0,2.0,0.65,9.0,2091.0
9.0,2.0,0.65,9.0,2092.0
9.0,2.0,0.65,9.0,2093.0
9.0,2.0,0.51,9.0,2094.0
9.0,2.0,0.65,9.0,2095.0
9.0,2.0,0.65,9.0,2096.0
9.0,2.0,0.65,9.0,2097.0
9.0,2.0,0.65,9.0,2098.0
9.0,2.0,0.65,9.0,2099.0
9.0,2.0,0.65,9.0,2100.0
9.0,2.0,0.65,10.0,2051.0
9.0,2.0,0.65,10.0,2052.0
9.0,2.0,0.65,10.0,2053.0
9.0,2.0,0.65,10.0,2054.0
9.0,2.0,0.65,10.0,2055.0
9.0,2.0,0.65,10.0,2056.0
9.0,2.0,0.65,10.0,2057.0
9.0,2.0,0.65,10.0,2058.0
9.0,2.0,0.65,10.0,2059.0
9.0,2.0,0.65,10.0,2060.0
9.0,2.0,0.65,10.0,2091.0
9.0,2.0,0.65,10.0,2092.0
9.0,2.0,0.65,10.0,2093.0
9.0,2.0,0.65,10.0,2094.0
9.0,2.0,0.65,10.0,2095.0
9.0,2.0,0.65,10.0,2096.0
9.0,2.0,0.65,10.0,2097.0
9.0,2.0,0.65,10.0,2098.0
9.0,2.0,0.65,10.0,2099.0
9.0,2.0,0.65,10.0,2100.0
9.0,2.0,0.65,11.0,2051.0
9.0,2.0,0.65,11.0,2052.0
9.0,2.0,0.65,11.0,2053.0
9.0,2.0,0.65,11.0,2054.0
9.0,2.0,0.65,11.0,2055.0
9.0,2.0,0.65,11.0,2056.0
9.0,2.0,0.65,11.0,2057.0
9.0,2.0,0.65,11.0,2058.0
9.0,2.0,0.65,11.0,2059.0
9.0,2.0,0.65,11.0,2060.0
9.0,2.0,0.65,11.0,2091.0
9.0,2.0,0.51,11.0,2092.0
9.0,2.0,0.65,11.0,2093.0
9.0,2.0,0.65,11.0,2094.0
9.0,2.0,0.65,11.0,2095.0
9.0,2.0,0.65,11.0,2096.0
9.0,2.0,0.65,11.0,2097.0
9.0,2.0,0.83,11.0,2098.0
